stash_address,commission_percent,self_stake,total_stake,era_points,cluster,voters
125xj1nYWcVcCM9CnLUydqEmuFwSNTmRybmyK65XWu8RFWK3,10.0,1.0,2165889.6085075103,860,1,186
12713bbq45c66CN9AD7yusSXWE1kY91DcMpjVcB2rXqZKy2w,5.0,256.7306085408,2169756.6658228934,860,2,756
128xoAmYDMLixg9Dv4sQz3vJnG94Jt1s2hp37PR8CQZMMMfp,10.0,1.0009628346,2162707.8954856163,560,1,159
129LBt5T1eYtnGHbPYeiiMdmWfokCiiq7z6JBfjnYifiombz,3.0,10001.2685407262,2166393.0976960068,960,1,396
129TM37DNpyJqtRYYimSMp8aQZ8QW7Jg3b4qtSrRqjgAChQf,3.0,22.0000188552,2167459.9601974282,1080,13,1107
12BkPLskXyXrHhktrinLxVFkPzzvCzCyVCaqHkUEoxMwSzeq,3.0,5136.0171598536,2159037.326414707,1120,1,100
12C9U6zSSoZ6pgwR2ksFyBLgQH6v7dkqqPCRyHceoP8MJRo2,5.0,1.0000136911,2167716.580249998,1040,1,581
12ECDEb18Wiy4MoLn3NTM5zhJfDfpS4mLNvjHpcEr8ogGrMZ,8.0,1.0,1942012.880261554,1140,1,182
12HFymxpDmi4XXPHaEMp74CNpRhkqwG5qxnrgikkhon1XMrj,8.0,1.0,1942015.8478373073,1040,1,167
12L5PhJ2CT4MujSXoHTsBRZHQym4e6WYRhpAkgNWSwAnjZTf,3.0,5175.4886156677,2169407.08038265,960,1,213
12WmM98h4Ar6y7ZyyMKPXwSyuP5GSZvXTbEkDXm1tirbZFW4,8.0,1.0,1942027.1521524757,720,1,166
12YP2b7L7gcHabZqE7vJMyF9eSZA9W68gnvb8BzTYx4MUxRo,3.0,22.0000258032,2167435.761647431,920,13,691
12doHFjPjPngNvZCWX4WeF4rkLFJ5LmmEyDvPGQ2C1aPppwy,5.0,1.2154127855,2299050.4663141784,1080,3,143
12dvyqCFhVubTDqMdojyjhkxVUMaYVXWLv8uZW1NomUunPmN,3.0,10018.8625794183,2168700.0157401855,1140,1,372
12e1tkDgfF3GYdiTkRq1vunXrvvhpKq3BQZYbJ1haXHApQTn,8.0,1.0,1942102.6798366737,780,1,132
12gkhA8JEz8ywmVj1tsVafSp9C4saKzSofgMwBJcmFJAGUVX,2.0,3.0,2167115.3353211116,1060,8,766
12jjUEmaKuwC1SxQHe8eXpcv6AzdWiXdvf55VvP1y8bf548b,5.0,1.0,2299015.4284887933,1020,3,192
12ud6X3HTfWmV6rYZxiFo6f6QEDc1FF74k91vF76AmCDMT4j,3.0,22.000061995,2167456.346526968,800,13,991
12wtfs4UfodYT1Y6y8NQsQaduLSJbhz7oaNt1F6gTLFHD1y5,2.0,3.0,2167197.7318827505,980,8,590
134Bw4gHcAaHBYx6JVK91b1CeC9yWseVdZqyttpaN5zBHn43,3.0,22.0000555733,2167732.553553176,780,13,873
13BN4WksoyexwDWhGsMMUbU5okehD19GzdyqL4DMPR2KkQpP,8.0,1.0,1942134.865800742,760,1,73
13BeUcLu7hzSTaoKpEtpdqiXKZz6yVfT9exKH6JuTW8RQQvJ,2.0,11977.1717890024,2167233.064432406,940,1,930
13EEEhiXeCFpFjVQxmjJsHjr9LFvnAurcnwQ1FDgB5LmJwQp,0.0,5409.9449498338,2167938.237228395,1040,1,599
13Q48Ep3PVpvXA1BeVcUhNJerLshsaeq4EdgPUHnemqJYmND,1.0,1.0,2168487.121216468,940,5,646
13YNhNr6GU9YkHabngRx5SXMcwhPkXuzapywp7pyYtM9ktZS,0.0,5033.4636198129,2167031.2086223257,1040,1,508
13arSPsihdfLnYzKhwXTJQAjejxTdbXwpMKUeTUq45mvR5K9,5.0,1.0,2123824.24605166,1000,6,282
13bEAraR65YASSynHhGNrsEyPgWfcLLYdgYV6GmeB6bbUeeg,8.0,1.0,2127698.506029897,1080,5,171
13eKBARPFWBdXJAKg4fBTNUfcz4YAYfDTetRRApuz1kTDVDg,3.0,10407.9049370615,2167789.0575920017,960,1,2161
13gJhYAWEuZomHsp7nBushCwqizG5ZPXoNZ2Z9hP5dynmcnJ,5.0,1.031,2168236.6623109183,960,1,254
13gaBDtm7gkyBXuqoYvUC4z7oYSFGBRcX9F4fa4vk3mvh2KX,10.0,1.0,2165700.189368327,980,1,149
13giQQe5CS4AAjkz1roun8NYUmZAQ2KYp32qTnJHLTcw4VxW,3.0,22.0000092975,2167673.869246411,900,13,901
13pndCL5D93GXZA6vuuHjvbnGSLYoaEMvTdrDQjSG7M3wYC7,5.0,438.7128717739,2023408.38589598,900,2,733
13uW7auWPX9WAtqwkBx7yagb78PLcv8FAcPZEVCovbXoNJK4,3.0,22.0000157206,2167395.879726847,940,13,919
148HzdSuFsDrNKnAHFs81BJzZxmKgwEC6Pmpw2QJnTy3Hv3R,5.0,8023.8268206023,2298967.768873533,920,1,358
149BcHWnp6cMNSgPUwLjhSVrMZBs4pqVQyS95uz7RP1ztPtB,10.0,7473.1629834001,2164044.172832751,880,1,285
14AkAFBzukRhAFh1wyko1ZoNWnUyq7bY1XbjeTeCHimCzPU1,3.0,22.0000651568,2167466.15516471,920,13,784
